"","Date","Time","Day","Station","Code","Min Delay","Min Gap","Bound","Line","Vehicle","OID_","line","line_1","POINT_X","POINT_Y","CODE.DESCRIPTION"
"14",2024-01-01,"03:06","Monday","Lawrence West","MUIS",0,0,"S","YU",0,39,"Yonge-University",1,-79.444403408,43.716018577,"Injured or ill Customer (In Station) - Transported"
"15",2024-01-01,"03:17","Monday","Victoria Park","MUIS",0,0,NA,"BD",0,28,"Bloor-Danforth",2,-79.28985976,43.69445053,"Injured or ill Customer (In Station) - Transported"
"16",2024-01-01,"03:31","Monday","North York Centre","MUIRS",0,0,NA,"YU",0,63,"Yonge-University",1,-79.412735717,43.767837366,"Injured or ill Customer (In Station) - Medical Aid Refused"
"17",2024-01-01,"03:50","Monday","Kennedy","MUIS",0,0,NA,"BD",0,30,"Bloor-Danforth",2,-79.264538997,43.732246741,"Injured or ill Customer (In Station) - Transported"
"18",2024-01-01,"05:26","Monday","Finch","SUAE",0,0,NA,"YU",0,64,"Yonge-University",1,-79.415772005,43.780682365,"Assault / Employee Involved"
"19",2024-01-01,"06:00","Monday","Kipling","MUIS",0,0,NA,"BD",0,0,"Bloor-Danforth",2,-79.536179398,43.637142249,"Injured or ill Customer (In Station) - Transported"
"20",2024-01-01,"07:05","Monday","Dupont","MUNCA",0,0,NA,"YU",0,43,"Yonge-University",1,-79.40731305,43.674800945,NA
"21",2024-01-01,"07:57","Monday","Sheppard West","TUNOA",12,24,"N","YU",0,36,"Yonge-University",1,-79.462584556,43.750410786,"No Operator Immediately Available "
"22",2024-01-01,"08:41","Monday","Eglinton","TUNOA",6,12,"N","YU",0,59,"Yonge-University",1,-79.398622359,43.706765596,"No Operator Immediately Available "
"23",2024-01-01,"08:42","Monday","Sheppard West","TUNIP",6,12,"N","YU",6016,36,"Yonge-University",1,-79.462584556,43.750410786,"Operator Not In Position"
"24",2024-01-01,"09:06","Monday","College","SUO",0,0,"S","YU",0,53,"Yonge-University",1,-79.383313131,43.661307158,"Passenger Other"
"25",2024-01-01,"09:09","Monday","St Clair","PUOPO",7,13,"S","YU",5811,57,"Yonge-University",1,-79.393589409,43.68818861,"OPTO (COMMS) Train Door Monitoring"
"26",2024-01-01,"09:17","Monday","Summerhill","PUOPO",6,12,"S","YU",5811,56,"Yonge-University",1,-79.390913388,43.68210859,"OPTO (COMMS) Train Door Monitoring"
"27",2024-01-01,"09:45","Monday","Queen","SUO",10,16,"S","YUS",5601,51,"Yonge-University",1,-79.379455679,43.652393313,"Passenger Other"
"28",2024-01-01,"10:08","Monday","Eglinton","TUNOA",6,12,"N","YU",0,59,"Yonge-University",1,-79.398622359,43.706765596,"No Operator Immediately Available "
"29",2024-01-01,"11:18","Monday","Queen","SUSA",0,0,"N","YU",0,51,"Yonge-University",1,-79.379455679,43.652393313,"Sexual Assault"
"30",2024-01-01,"11:39","Monday","Old Mill","TUSC",3,7,"E","BD",5291,3,"Bloor-Danforth",2,-79.495150479,43.64999656,"Operator Overspeeding"
"31",2024-01-01,"12:11","Monday","Spadina","MUIR",0,0,"N","YU",5732,14,"Bloor-Danforth",2,-79.404053464,43.667271999,"Injured or ill Customer (On Train) - Medical Aid Refused"
"32",2024-01-01,"12:54","Monday","St Patrick","SUDP",0,0,"S","YU",0,46,"Yonge-University",1,-79.388514008,43.654744649,"Disorderly Patron"
"33",2024-01-01,"13:24","Monday","Vaughan Met. Centre","SUDP",0,0,NA,"YU",0,70,"Yonge-University",0,-79.526543035,43.793593306,"Disorderly Patron"
"34",2024-01-01,"14:06","Monday","Yonge","MUIR",0,0,"E","BD",5284,17,"Yonge-University",1,-79.38594519,43.670985406,"Injured or ill Customer (On Train) - Medical Aid Refused"
"35",2024-01-01,"14:15","Monday","Bloor","MUIR",12,16,"N","YU",5631,17,"Bloor-Danforth",2,-79.3832,43.67,"Injured or ill Customer (On Train) - Medical Aid Refused"
"36",2024-01-01,"15:15","Monday","Lansdowne","MUDD",7,11,"E","BD",5164,9,"Bloor-Danforth",2,-79.442988936,43.659060096,"Door Problems - Debris Related"
"37",2024-01-01,"15:23","Monday","St George","PUMEL",0,0,NA,"YU",0,15,"Yonge-University",1,-79.397849346,43.668584618,"Escalator/Elevator Incident"
"38",2024-01-01,"15:38","Monday","College","MUPAA",4,8,"N","YU",6061,53,"Yonge-University",1,-79.383313131,43.661307158,"Passenger Assistance Alarm Activated - No Trouble Found"
"39",2024-01-01,"16:05","Monday","Spadina","SUDP",0,0,NA,"BD",0,14,"Bloor-Danforth",2,-79.404053464,43.667271999,"Disorderly Patron"
"40",2024-01-01,"16:20","Monday","Rosedale","SUDP",7,11,"S","YU",6086,55,"Yonge-University",1,-79.388772396,43.677128586,"Disorderly Patron"
"41",2024-01-01,"17:17","Monday","Bloor","SUDP",0,0,"S","YU",0,17,"Bloor-Danforth",2,-79.3832,43.67,"Disorderly Patron"
"42",2024-01-01,"17:35","Monday","Rosedale","MUPAA",0,0,"N","YU",5751,55,"Yonge-University",1,-79.388772396,43.677128586,"Passenger Assistance Alarm Activated - No Trouble Found"
"43",2024-01-01,"19:01","Monday","Dufferin","MUIRS",0,0,"W","BD",0,10,"Bloor-Danforth",2,-79.435516833,43.660191777,"Injured or ill Customer (In Station) - Medical Aid Refused"
"44",2024-01-01,"19:54","Monday","Donlands","SUUT",0,0,"W","BD",5016,23,"Bloor-Danforth",2,-79.337800388,43.681180597,"Unauthorized at Track Level"
"45",2024-01-01,"20:52","Monday","Queen","MUPAA",7,13,"S","YU",5861,51,"Yonge-University",1,-79.379455679,43.652393313,"Passenger Assistance Alarm Activated - No Trouble Found"
"46",2024-01-01,"21:07","Monday","Kennedy","MUNOA",6,12,"W","BD",5226,30,"Bloor-Danforth",2,-79.264538997,43.732246741,"No Operator Immediately Available - Not E.S.A. Related "
"47",2024-01-01,"22:10","Monday","Dufferin","MUIS",0,0,NA,"BD",0,10,"Bloor-Danforth",2,-79.435516833,43.660191777,"Injured or ill Customer (In Station) - Transported"
"48",2024-01-01,"22:13","Monday","St George","SUDP",0,0,"S","YU",6601,15,"Yonge-University",1,-79.397849346,43.668584618,"Disorderly Patron"
"49",2024-01-01,"00:44","Monday","Vaughan Met. Centre","MUPAA",0,0,"S","YU",6021,70,"Yonge-University",0,-79.526543035,43.793593306,"Passenger Assistance Alarm Activated - No Trouble Found"
"50",2024-01-01,"00:48","Monday","Bloor","SUO",0,0,"S","YU",5776,17,"Bloor-Danforth",2,-79.3832,43.67,"Passenger Other"
"51",2024-01-01,"01:10","Monday","Vaughan Met. Centre","MUO",8,14,"S","YU",5921,70,"Yonge-University",0,-79.526543035,43.793593306,"Miscellaneous Other"
"52",2024-01-01,"01:11","Monday","Dundas","SUO",0,0,"S","YU",0,52,"Yonge-University",1,-79.381123655,43.656277584,"Passenger Other"
"53",2024-01-01,"01:38","Monday","St George","SUUT",0,0,"N","YU",5796,15,"Yonge-University",1,-79.397849346,43.668584618,"Unauthorized at Track Level"
"54",2024-01-01,"01:46","Monday","Sheppard West","SUAE",0,0,NA,"YU",0,36,"Yonge-University",1,-79.462584556,43.750410786,"Assault / Employee Involved"
"55",2024-01-02,"02:06","Tuesday","Finch","MUIS",0,0,"S","YU",0,64,"Yonge-University",1,-79.415772005,43.780682365,"Injured or ill Customer (In Station) - Transported"
"56",2024-01-02,"06:02","Tuesday","Spadina","TUSC",0,0,"E","BD",5176,14,"Bloor-Danforth",2,-79.404053464,43.667271999,"Operator Overspeeding"
"57",2024-01-02,"06:19","Tuesday","Warden","MUIRS",0,0,NA,"BD",0,29,"Bloor-Danforth",2,-79.278911529,43.712536504,"Injured or ill Customer (In Station) - Medical Aid Refused"
"58",2024-01-02,"06:42","Tuesday","St Clair West","MUIS",0,0,NA,"YU",0,42,"Yonge-University",1,-79.415524426,43.68370091,"Injured or ill Customer (In Station) - Transported"
"59",2024-01-02,"06:53","Tuesday","Christie","SUO",0,0,NA,"BD",0,12,"Bloor-Danforth",2,-79.418760827,43.663990096,"Passenger Other"
"60",2024-01-02,"07:40","Tuesday","Davisville","SUDP",6,9,"S","YU",6076,58,"Yonge-University",1,-79.397541379,43.698088363,"Disorderly Patron"
"61",2024-01-02,"07:45","Tuesday","St George","MUIR",0,0,"N","YU",5416,15,"Yonge-University",1,-79.397849346,43.668584618,"Injured or ill Customer (On Train) - Medical Aid Refused"
"62",2024-01-02,"07:47","Tuesday","Bloor","SUO",0,0,"N","YU",0,17,"Bloor-Danforth",2,-79.3832,43.67,"Passenger Other"
"63",2024-01-02,"08:38","Tuesday","Bloor","PUOPO",0,0,"N","YU",5811,17,"Bloor-Danforth",2,-79.3832,43.67,"OPTO (COMMS) Train Door Monitoring"
"64",2024-01-02,"08:44","Tuesday","St Clair","PUOPO",6,9,"N","YU",5811,57,"Yonge-University",1,-79.393589409,43.68818861,"OPTO (COMMS) Train Door Monitoring"
"65",2024-01-02,"08:51","Tuesday","Dundas","MUSAN",3,6,"N","YU",5451,52,"Yonge-University",1,-79.381123655,43.656277584,"Unsanitary Vehicle"
"66",2024-01-02,"09:12","Tuesday","Broadview","EUME",9,12,"W","BD",5004,20,"Bloor-Danforth",2,-79.358879712,43.676784225,"RC&S Maintenance Error - (Human)"
"67",2024-01-02,"09:22","Tuesday","Bay","SUDP",0,0,NA,"BD",0,16,"Bloor-Danforth",2,-79.390213766,43.670138305,"Disorderly Patron"
"68",2024-01-02,"09:33","Tuesday","Finch West","MUIR",4,7,"N","YU",5851,74,"Yonge-University",0,-79.490993428,43.7634986,"Injured or ill Customer (On Train) - Medical Aid Refused"
"69",2024-01-02,"10:38","Tuesday","Rosedale","SUDP",0,0,NA,"YU",0,55,"Yonge-University",1,-79.388772396,43.677128586,"Disorderly Patron"
"70",2024-01-02,"11:13","Tuesday","Chester","SUO",0,0,NA,"BD",0,21,"Bloor-Danforth",2,-79.352501598,43.678301743,"Passenger Other"
"71",2024-01-02,"11:48","Tuesday","Queen's Park","SUO",0,0,"S","YU",5791,45,"Yonge-University",1,-79.390699978,43.659788798,"Passenger Other"
"72",2024-01-02,"12:20","Tuesday","College","SUDP",0,0,NA,"YU",0,53,"Yonge-University",1,-79.383313131,43.661307158,"Disorderly Patron"
"73",2024-01-02,"13:12","Tuesday","Downsview Park","EUDO",5,10,"N","YU",5806,75,"Yonge-University",0,-79.478423606,43.75402687,"Door Problems - Faulty Equipment"
"74",2024-01-02,"13:42","Tuesday","St George","SUO",3,8,"S","YU",5961,15,"Yonge-University",1,-79.397849346,43.668584618,"Passenger Other"
"75",2024-01-02,"13:46","Tuesday","Eglinton","MUI",3,8,"N","YU",5576,59,"Yonge-University",1,-79.398622359,43.706765596,"Injured or ill Customer (On Train) - Transported"
"76",2024-01-02,"13:55","Tuesday","Keele","MUPAA",0,0,"E","BD",5021,7,"Bloor-Danforth",2,-79.460276072,43.655377717,"Passenger Assistance Alarm Activated - No Trouble Found"
"77",2024-01-02,"14:03","Tuesday","North York Centre","SUDP",8,13,"S","YU",5481,63,"Yonge-University",1,-79.412735717,43.767837366,"Disorderly Patron"
"78",2024-01-02,"14:07","Tuesday","Wellesley","SUDP",0,0,NA,"YU",0,54,"Yonge-University",1,-79.383695522,43.665093566,"Disorderly Patron"
"79",2024-01-02,"14:09","Tuesday","Kennedy","SUAP",0,0,NA,"BD",0,30,"Bloor-Danforth",2,-79.264538997,43.732246741,"Assault / Patron Involved"
"80",2024-01-02,"14:36","Tuesday","St George","SUDP",21,26,"S","YU",6051,15,"Yonge-University",1,-79.397849346,43.668584618,"Disorderly Patron"
"81",2024-01-02,"15:09","Tuesday","Kipling","MUIR",3,6,"E","BD",5017,0,"Bloor-Danforth",2,-79.536179398,43.637142249,"Injured or ill Customer (On Train) - Medical Aid Refused"
"82",2024-01-02,"15:12","Tuesday","Museum","SUDP",8,13,"S","YU",5886,44,"Yonge-University",1,-79.393731641,43.667212514,"Disorderly Patron"
"83",2024-01-02,"15:43","Tuesday","Keele","TUNIP",3,6,"W","BD",5037,7,"Bloor-Danforth",2,-79.460276072,43.655377717,"Operator Not In Position"
"84",2024-01-02,"15:54","Tuesday","Davisville","MUDD",6,11,"N","YU",5441,58,"Yonge-University",1,-79.397541379,43.698088363,"Door Problems - Debris Related"
"85",2024-01-02,"16:05","Tuesday","Islington","TUSC",0,0,"E","BD",5307,1,"Bloor-Danforth",2,-79.523970386,43.645471587,"Operator Overspeeding"
"86",2024-01-02,"16:31","Tuesday","Donlands","MUSC",0,0,"W","BD",5029,23,"Bloor-Danforth",2,-79.337800388,43.681180597,"Miscellaneous Speed Control"
"87",2024-01-02,"16:52","Tuesday","Bloor","MUIRS",0,0,NA,"YU",0,17,"Bloor-Danforth",2,-79.3832,43.67,"Injured or ill Customer (In Station) - Medical Aid Refused"
"88",2024-01-02,"16:53","Tuesday","Bloor","SUDP",0,0,"N","YU",0,17,"Bloor-Danforth",2,-79.3832,43.67,"Disorderly Patron"
"89",2024-01-02,"18:00","Tuesday","Woodbine","MUSC",0,0,"E","BD",5098,26,"Bloor-Danforth",2,-79.313208456,43.686505466,"Miscellaneous Speed Control"
"90",2024-01-02,"18:07","Tuesday","Dundas","MUIS",0,0,NA,"YU",0,52,"Yonge-University",1,-79.381123655,43.656277584,"Injured or ill Customer (In Station) - Transported"
"91",2024-01-02,"18:09","Tuesday","College","MUDD",10,13,"S","YU",6001,53,"Yonge-University",1,-79.383313131,43.661307158,"Door Problems - Debris Related"
"92",2024-01-02,"18:38","Tuesday","Bloor","SUO",16,20,"S","YU",5881,17,"Bloor-Danforth",2,-79.3832,43.67,"Passenger Other"
"93",2024-01-02,"18:41","Tuesday","Yonge","SUO",16,20,"W","BD",5063,17,"Yonge-University",1,-79.38594519,43.670985406,"Passenger Other"
"94",2024-01-02,"19:01","Tuesday","Bloor","SUO",24,27,"N","YU",5961,17,"Bloor-Danforth",2,-79.3832,43.67,"Passenger Other"
"95",2024-01-02,"19:01","Tuesday","Yonge","SUO",24,29,"E","BD",5044,17,"Yonge-University",1,-79.38594519,43.670985406,"Passenger Other"
"96",2024-01-02,"19:34","Tuesday","Rosedale","SUO",20,23,"S","YU",6016,55,"Yonge-University",1,-79.388772396,43.677128586,"Passenger Other"
"97",2024-01-02,"19:43","Tuesday","College","MUIRS",0,0,NA,"YU",0,53,"Yonge-University",1,-79.383313131,43.661307158,"Injured or ill Customer (In Station) - Medical Aid Refused"
"98",2024-01-02,"20:12","Tuesday","Warden","TUO",3,8,"W","BD",5212,29,"Bloor-Danforth",2,-79.278911529,43.712536504,"Transportation Department - Other"
"99",2024-01-02,"20:29","Tuesday","Main","SUDP",0,0,NA,"BD",0,27,"Bloor-Danforth",2,-79.302409246,43.688875715,"Disorderly Patron"
"100",2024-01-02,"20:38","Tuesday","Wellesley","MUIRS",0,0,"N","YU",5561,54,"Yonge-University",1,-79.383695522,43.665093566,"Injured or ill Customer (In Station) - Medical Aid Refused"
"101",2024-01-02,"20:40","Tuesday","Eglinton","SUEAS",9,14,"S","YU",6091,59,"Yonge-University",1,-79.398622359,43.706765596,"Emergency Alarm Station Activation"
"102",2024-01-02,"20:42","Tuesday","Sherbourne","SUDP",0,0,"W","BD",0,18,"Bloor-Danforth",2,-79.377134499,43.672095117,"Disorderly Patron"
"103",2024-01-02,"21:05","Tuesday","St George","SUO",0,0,NA,"BD",0,15,"Yonge-University",1,-79.397849346,43.668584618,"Passenger Other"
"104",2024-01-02,"21:05","Tuesday","Yorkdale","SUO",0,0,"S","YU",0,38,"Yonge-University",1,-79.447865439,43.725026597,"Passenger Other"
"105",2024-01-02,"21:09","Tuesday","Dundas West","MUIS",0,0,NA,"BD",0,8,"Bloor-Danforth",2,-79.452665671,43.657117263,"Injured or ill Customer (In Station) - Transported"
"106",2024-01-02,"22:08","Tuesday","Spadina","SUAE",0,0,NA,"BD",0,14,"Bloor-Danforth",2,-79.404053464,43.667271999,"Assault / Employee Involved"
"107",2024-01-02,"22:52","Tuesday","Dundas West","SUDP",0,0,NA,"BD",0,8,"Bloor-Danforth",2,-79.452665671,43.657117263,"Disorderly Patron"
"108",2024-01-02,"23:33","Tuesday","Warden","TUS",4,9,"E","BD",5098,29,"Bloor-Danforth",2,-79.278911529,43.712536504,"Crew Unable to Maintain Schedule"
"109",2024-01-02,"23:57","Tuesday","Wellesley","MUIRS",0,0,NA,"YU",0,54,"Yonge-University",1,-79.383695522,43.665093566,"Injured or ill Customer (In Station) - Medical Aid Refused"
"110",2024-01-02,"23:59","Tuesday","Wellesley","SUO",0,0,NA,"YU",0,54,"Yonge-University",1,-79.383695522,43.665093566,"Passenger Other"
"111",2024-01-02,"00:08","Tuesday","Kennedy","SUDP",5,10,"W","BD",5049,30,"Bloor-Danforth",2,-79.264538997,43.732246741,"Disorderly Patron"
"112",2024-01-02,"00:26","Tuesday","Main","SUDP",0,0,NA,"BD",0,27,"Bloor-Danforth",2,-79.302409246,43.688875715,"Disorderly Patron"
"113",2024-01-02,"01:45","Tuesday","Eglinton West","SUDP",0,0,NA,"YU",0,41,"Yonge-University",1,-79.436190432,43.698722631,"Disorderly Patron"
"114",2024-01-02,"01:48","Tuesday","Eglinton West","SUDP",0,0,"N","YU",0,41,"Yonge-University",1,-79.436190432,43.698722631,"Disorderly Patron"
"115",2024-01-02,"01:48","Tuesday","Broadview","EUVE",11,16,"W","BD",0,20,"Bloor-Danforth",2,-79.358879712,43.676784225,"Work Vehicle"
"116",2024-01-02,"01:59","Tuesday","Jane","SUUT",0,0,"W","BD",5004,4,"Bloor-Danforth",2,-79.484647899,43.649751849,"Unauthorized at Track Level"
"117",2024-01-02,"05:27","Tuesday","Sheppard","TUSC",0,0,"E","SHP",6191,62,"Yonge-University",1,-79.411104746,43.761474916,"Operator Overspeeding"
"118",2024-01-02,"05:39","Tuesday","Don Mills","MUSC",0,0,"W","SHP",6196,69,"Sheppard",4,-79.347243483,43.775060927,"Miscellaneous Speed Control"
"119",2024-01-02,"16:07","Tuesday","Bayview","SUDP",4,11,"W","SHP",6146,66,"Sheppard",4,-79.388257361,43.766544641,"Disorderly Patron"
"120",2024-01-03,"02:42","Wednesday","Vaughan Met. Centre","MUIS",0,0,NA,"YU",0,70,"Yonge-University",0,-79.526543035,43.793593306,"Injured or ill Customer (In Station) - Transported"
"121",2024-01-03,"06:15","Wednesday","Union","MUIS",0,0,NA,"YU",0,49,"Yonge-University",1,-79.380694393,43.64566489,"Injured or ill Customer (In Station) - Transported"
"122",2024-01-03,"06:49","Wednesday","Kipling","MUIS",0,0,NA,"BD",0,0,"Bloor-Danforth",2,-79.536179398,43.637142249,"Injured or ill Customer (In Station) - Transported"
"123",2024-01-03,"07:06","Wednesday","Eglinton","MUIE",0,0,NA,"YU",0,59,"Yonge-University",1,-79.398622359,43.706765596,"Injured Employee"
"124",2024-01-03,"07:17","Wednesday","Dundas","MUPAA",3,6,"S","YU",5796,52,"Yonge-University",1,-79.381123655,43.656277584,"Passenger Assistance Alarm Activated - No Trouble Found"
"125",2024-01-03,"07:31","Wednesday","Bloor","PUMEL",0,0,NA,"YU",0,17,"Bloor-Danforth",2,-79.3832,43.67,"Escalator/Elevator Incident"
"126",2024-01-03,"07:46","Wednesday","Bloor","MUIRS",0,0,NA,"YU",0,17,"Bloor-Danforth",2,-79.3832,43.67,"Injured or ill Customer (In Station) - Medical Aid Refused"
"127",2024-01-03,"08:34","Wednesday","Union","SUDP",0,0,"N","YU",6125,49,"Yonge-University",1,-79.380694393,43.64566489,"Disorderly Patron"
"128",2024-01-03,"08:48","Wednesday","Dundas","SUDP",0,0,"S","YU",5984,52,"Yonge-University",1,-79.381123655,43.656277584,"Disorderly Patron"
"129",2024-01-03,"11:31","Wednesday","Warden","SUO",0,0,NA,"BD",0,29,"Bloor-Danforth",2,-79.278911529,43.712536504,"Passenger Other"
"130",2024-01-03,"11:32","Wednesday","Victoria Park","EUCA",4,8,"W","BD",5180,28,"Bloor-Danforth",2,-79.28985976,43.69445053,"Compressed Air"
"131",2024-01-03,"11:40","Wednesday","Kennedy","PUMEL",0,0,NA,"BD",0,30,"Bloor-Danforth",2,-79.264538997,43.732246741,"Escalator/Elevator Incident"
"132",2024-01-03,"11:54","Wednesday","Lansdowne","EUSC",0,0,"E","BD",5213,9,"Bloor-Danforth",2,-79.442988936,43.659060096,"Speed Control Equipment  "
"133",2024-01-03,"12:30","Wednesday","Eglinton","TUOS",0,0,"S","YU",5796,59,"Yonge-University",1,-79.398622359,43.706765596,"Operator Overshot Platform"
"134",2024-01-03,"12:50","Wednesday","Davisville","MUSAN",5,10,"N","YU",5971,58,"Yonge-University",1,-79.397541379,43.698088363,"Unsanitary Vehicle"
"135",2024-01-03,"12:55","Wednesday","Sheppard","MUPAA",0,0,"N","YU",5976,62,"Yonge-University",1,-79.411104746,43.761474916,"Passenger Assistance Alarm Activated - No Trouble Found"
"136",2024-01-03,"13:06","Wednesday","Bay","SUO",0,0,NA,"BD",0,16,"Bloor-Danforth",2,-79.390213766,43.670138305,"Passenger Other"
"137",2024-01-03,"13:20","Wednesday","Finch","SUAP",0,0,NA,"YU",0,64,"Yonge-University",1,-79.415772005,43.780682365,"Assault / Patron Involved"
"138",2024-01-03,"13:30","Wednesday","Yonge","MUSAN",9,13,"W","BD",5310,17,"Yonge-University",1,-79.38594519,43.670985406,"Unsanitary Vehicle"
"139",2024-01-03,"13:36","Wednesday","Union","SUO",0,0,NA,"YU",0,49,"Yonge-University",1,-79.380694393,43.64566489,"Passenger Other"
"140",2024-01-03,"14:34","Wednesday","Bathurst","SUAP",0,0,NA,"BD",0,13,"Bloor-Danforth",2,-79.411490357,43.665725238,"Assault / Patron Involved"
"141",2024-01-03,"15:25","Wednesday","Main","SUUT",0,0,"E","BD",5168,27,"Bloor-Danforth",2,-79.302409246,43.688875715,"Unauthorized at Track Level"
"142",2024-01-03,"15:26","Wednesday","Eglinton","MUIR",5,10,"N","YU",5436,59,"Yonge-University",1,-79.398622359,43.706765596,"Injured or ill Customer (On Train) - Medical Aid Refused"
"143",2024-01-03,"15:35","Wednesday","Bloor","SUO",0,0,"N","YU",5856,17,"Bloor-Danforth",2,-79.3832,43.67,"Passenger Other"
"144",2024-01-03,"15:37","Wednesday","Yonge","SUO",0,0,"W","BD",5259,17,"Yonge-University",1,-79.38594519,43.670985406,"Passenger Other"
"145",2024-01-03,"15:57","Wednesday","Finch West","PUOPO",0,0,"S","YU",5991,74,"Yonge-University",0,-79.490993428,43.7634986,"OPTO (COMMS) Train Door Monitoring"
"146",2024-01-03,"16:08","Wednesday","Yonge","SUDP",0,0,NA,"BD",0,17,"Yonge-University",1,-79.38594519,43.670985406,"Disorderly Patron"
"147",2024-01-03,"17:03","Wednesday","Bloor","MUIRS",0,0,"S","YU",0,17,"Bloor-Danforth",2,-79.3832,43.67,"Injured or ill Customer (In Station) - Medical Aid Refused"
"148",2024-01-03,"17:17","Wednesday","Wellesley","MUIRS",0,0,NA,"YU",0,54,"Yonge-University",1,-79.383695522,43.665093566,"Injured or ill Customer (In Station) - Medical Aid Refused"
"149",2024-01-03,"17:23","Wednesday","Lawrence West","SUO",0,0,"S","YU",6016,39,"Yonge-University",1,-79.444403408,43.716018577,"Passenger Other"
"150",2024-01-03,"17:26","Wednesday","Victoria Park","SUO",0,0,NA,"BD",0,28,"Bloor-Danforth",2,-79.28985976,43.69445053,"Passenger Other"
"151",2024-01-03,"17:30","Wednesday","Sherbourne","MUPR1",26,29,"W","BD",5244,18,"Bloor-Danforth",2,-79.377134499,43.672095117,"Priority One - Train in Contact With Person"
"152",2024-01-03,"17:42","Wednesday","Rosedale","PUSAC",12,15,"N","YU",5621,55,"Yonge-University",1,-79.388772396,43.677128586,"Signals Axle Counter Block Failure"
"153",2024-01-03,"17:52","Wednesday","Wellesley","MUPAA",3,6,"N","YU",6061,54,"Yonge-University",1,-79.383695522,43.665093566,"Passenger Assistance Alarm Activated - No Trouble Found"
"154",2024-01-03,"18:02","Wednesday","Dufferin","SUDP",0,0,NA,"BD",0,10,"Bloor-Danforth",2,-79.435516833,43.660191777,"Disorderly Patron"
"155",2024-01-03,"18:19","Wednesday","Lawrence","SUO",8,11,"S","YU",5651,60,"Yonge-University",1,-79.402403683,43.725028561,"Passenger Other"
"156",2024-01-03,"18:27","Wednesday","Lawrence","MUIS",0,0,NA,"YU",0,60,"Yonge-University",1,-79.402403683,43.725028561,"Injured or ill Customer (In Station) - Transported"
"157",2024-01-03,"19:16","Wednesday","Finch","SUDP",0,0,NA,"YU",0,64,"Yonge-University",1,-79.415772005,43.780682365,"Disorderly Patron"
"158",2024-01-03,"19:34","Wednesday","Donlands","SUO",5,10,"W","BD",5004,23,"Bloor-Danforth",2,-79.337800388,43.681180597,"Passenger Other"
"159",2024-01-03,"20:06","Wednesday","Coxwell","PUMEL",0,0,NA,"BD",0,25,"Bloor-Danforth",2,-79.324124363,43.684123636,"Escalator/Elevator Incident"
"160",2024-01-03,"20:10","Wednesday","Vaughan Met. Centre","EUPI",43,47,"S","YU",6111,70,"Yonge-University",0,-79.526543035,43.793593306,"Propulsion System"
"161",2024-01-03,"20:29","Wednesday","Osgoode","SUDP",0,0,NA,"YU",0,47,"Yonge-University",1,-79.386829953,43.650814436,"Disorderly Patron"
